title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
Carvacrol-10364,-38.3569888879902,-12.7425975565138,1.65414798308302,-0.435258400494419,-20.880119219647,-0.260858317388135,1.4210854715202e-14,13.2604357956038,,-18.9527391726238,2.04267663237839,-0.130109163466807,1.65414798308284,0.0,0.00223314163998456,0.0,0.0,0.0265401821028775,,0.4898644890195,-12.9916688281036,-14.6930510601223,1.22421128541133,0.0,-1.39725690500046,0.0,0.0,-3.26800257270201,,5.14243042430982,-9221.97017011666,-6391.39895832203,974.26390735672,-78.3538229712667,-1192.99369387513,-1.61734997154919,-79.0312314905497,-1463.90060647061,,-988.938414372255,-12.9916688281036,-14.6930510601223,1.22421128541133,0.0,-1.39725690500046,0.0,0.0,-3.26800257270201,,5.14243042430982,-9170.62151240057,-6363.96330970539,971.385548088226,-77.9185645707723,-1170.71631775048,-1.35649165416106,-79.0312314905497,-1473.89303969351,,-975.128105623941,-40.3996655203646,-12.6124883930506,2.27373675443232e-13,-0.435258400494419,-20.8823523612864,-0.260858317388133,0.0,13.2338956134993,,-19.442603661643,-3.63797880709171e-12,3.63797880709171e-12,0.0,0.0,-4.54747350886464e-13,-1.77635683940025e-15,1.4210854715202e-14,1.59161572810262e-12,,-2.27373675443232e-13,-3.48699898981729,-5.23049848472593,-11.2884552961519
Ursolic-64945,-28.2819342133116,-1.42147324913003,7.21057865950092,-0.0050619637249838,-42.11522767576,-1.77635683940025e-15,1.4210854715202e-14,20.5287456311778,,-12.4794956153678,15.0223515848434,-0.000342058678228341,7.21057865950031,0.0,0.0877415671847359,0.0,0.0,0.0608820879413798,,7.66349132889524,7.15167581808048,-31.8639665959569,71.382095584982,0.0,-31.0271818864031,0.0,0.0,-23.3609914613207,,22.0217201767792,-9191.7517707958,-6397.24874955048,1049.97822233271,-77.9236265344973,-1243.85872731264,-1.35649165416106,-79.0312314905497,-1476.72528552365,,-965.58588106253,7.15167581808048,-31.8639665959569,71.382095584982,0.0,-31.0271818864031,0.0,0.0,-23.3609914613207,,22.0217201767792,-9170.62151240057,-6363.96330970539,971.385548088226,-77.9185645707723,-1170.71631775048,-1.35649165416106,-79.0312314905497,-1473.89303969351,,-975.128105623941,-43.3042857981509,-1.42113119045553,5.6843418860808e-13,-0.0050619637249838,-42.2029692429442,0.0,0.0,20.4678635432347,,-20.1429869442628,-3.63797880709171e-12,3.63797880709171e-12,0.0,0.0,-4.54747350886464e-13,-1.77635683940025e-15,1.4210854715202e-14,1.59161572810262e-12,,-2.27373675443232e-13,-0.857028309494291,-1.28554246424144,-6.28975573302223
Ursolic-64945,-37.2810469702035,-10.7880733638021,2.45011596330869,-0.231028605712154,-38.612800714757,-1.77635683940025e-15,1.4210854715202e-14,21.6739404527016,,-11.7732007019395,11.9148033694191,0.153929693255513,2.45011596330821,0.0,0.085101783685527,0.0,0.0,-0.300678543600384,,9.52633447277023,20.0715664760779,-43.5238500954901,76.0893670177167,0.0,-31.0393636460816,0.0,0.0,-3.37459043214432,,21.9200036320771,-9187.8309928947,-6418.27523316468,1049.92503106925,-78.1495931764845,-1240.36848211132,-1.35649165416106,-79.0312314905497,-1455.59368967295,,-964.981302693803,20.0715664760779,-43.5238500954901,76.0893670177167,0.0,-31.0393636460816,0.0,0.0,-3.37459043214432,,21.9200036320771,-9170.62151240057,-6363.96330970539,971.385548088226,-77.9185645707723,-1170.71631775048,-1.35649165416106,-79.0312314905497,-1473.89303969351,,-975.128105623941,-49.1958503396199,-10.9420030570618,4.54747350886464e-13,-0.231028605712154,-38.6979024984421,0.0,0.0,21.9746189963005,,-21.2995351747094,-3.63797880709171e-12,3.63797880709171e-12,0.0,0.0,-4.54747350886464e-13,-1.77635683940025e-15,1.4210854715202e-14,1.59161572810262e-12,,-2.27373675443232e-13,-1.12972869606677,-1.69459304410016,-8.29111181524285
